Project ID,Project Name,Project Description,Algorithms Used,Evaluation Metrics,Project Type,Date Completed,Results Summary,Keywords,Data Source,Technologies Used,Relevance to Current Trends,Accuracy,Citation Link
1,Bus Crowd Management,IR sensors count passengers to reduce overcrowding in public transport.,"IR sensor-based counting, Arduino processing, GPS tracking","Count accuracy, Data efficiency, Overcrowding reduction",Public Transport Optimization,2022,IR sensors detected passengers and displayed counts on LCD.,"Public transport, Sensors, Revenue, Database","IR sensors, GPS, Ticketing machine data","Arduino, IR Sensors, NodeMCU, GPS, LCD","Smart transport, IoT, Urban mobility, Digital India",,
2,Farm Automation,IoT-based farm automation using NodeMCU for irrigation and monitoring.,"Soil moisture sensing, IoT data collection, NodeMCU control","Moisture accuracy, Energy efficiency, Automation reliability",Smart Farming Automation,2022,NodeMCU controlled irrigation and monitored soil conditions.,"Farm automation, IoT, Remote monitoring, Agriculture","Soil & temperature sensors, IoT cloud","NodeMCU, Soil Sensors, IoT, MIT App Inventor","IoT farming, Precision agriculture, Water conservation",,
4,AI-Based Sleep Detection System for Enhanced Road Safety,An AI-driven driver drowsiness detection system using OpenCV to monitor eye movement and trigger an alarm if drowsiness is detected.,"PERCLOS technique, OpenCV, Face and Eye Detection","Detection Accuracy, False Alarm Rate",Road Safety & AI,2023,Successfully detected drowsiness using face and eye tracking but had limitations with glasses.,"Drowsiness Detection, AI, OpenCV, Driver Safety",Live Video Feed from Webcam,"Python, OpenCV, Winsound","AI-based road safety, Preventive measures for driver fatigue",85%,
5,Non-Contact Temperature Detection System,"A contactless temperature detection system using infrared sensors to detect abnormal body temperature, aiding in health monitoring.","Infrared Thermometry, MLX90614 Sensor, Ultrasonic Sensor for Distance Measurement","Temperature Accuracy, Alert Response Time",Health Monitoring & IoT,2022,"Accurate temperature measurement and real-time alerts, improving safety in public spaces.","Infrared Thermometry, IoT, Health Monitoring","Infrared Sensor MLX90614, Ultrasonic Sensor","Arduino, IoT, LCD Display","COVID-19 prevention, Smart health monitoring",92%,
6,Machine Learning-Based Forest Fire Forecasting,A predictive system for forest fires using meteorological and geographical data with ML models to improve early warning systems.,"Random Forest, Ridge Regression, Neural Networks","Prediction Accuracy, False Alarm Rate",Environmental Safety & ML,2023,"Achieved high prediction accuracy, outperforming existing forecasting techniques.","Forest Fire, Machine Learning, Prediction Models","Meteorological Data, Geographical Data","Python, Scikit-Learn, TensorFlow","Climate change mitigation, Early warning systems",96.70%,
7,IoT-Based Intelligent Object Sorting System using YOLO,An automated object sorting system integrating IoT and deep learning to improve sorting efficiency in industries.,"YOLO (You Only Look Once), SORT (Simple Online and Realtime Tracking)","Sorting Accuracy, Processing Speed",Industrial Automation & IoT,2024,Improved sorting accuracy by 32% compared to traditional methods.,"Object Sorting, YOLO, Deep Learning, IoT","25,000 annotated images dataset","Python, YOLOv5, IoT Sensors","Smart Manufacturing, AI-driven automation",93%,
8,Enhanced Flood Management Using Global Climate Disaster Database,A flood detection and monitoring system using deep learning to analyze satellite images and real-time environmental data.,"MobileNetV2, Convolutional Neural Networks (CNN)","Detection Accuracy, False Positives Reduction",Disaster Management & AI,2024,Achieved high accuracy in flood detection and reduced misclassification by 32%.,"Flood Detection, Disaster Management, Deep Learning","Global Climate Disaster Database, Satellite Images","Python, TensorFlow, Keras, MobileNetV2","Climate change response, AI in disaster management",94.36%,
9,Automated Attendance System Using Face Recognition,This research presents a biometric-based automated attendance system using face recognition techniques.,"Principal Component Analysis (PCA), Eigenfaces","Recognition Accuracy, Execution Time",Biometric Authentication & AI,2022,Achieved high accuracy in attendance automation with minimal false positives.,"Face Recognition, Biometric Authentication, Attendance System",University Student Dataset,"OpenCV, Python, PCA",Enhancing attendance management using AI,92.50%,https://www.researchgate.net/publication/379312185
10,Gender Discrimination and Crime Prediction,Development of an AI model for predicting crime rates related to gender discrimination using automated learning techniques.,"Random Forest, Logistic Regression","Prediction Accuracy, Recall, Precision",Crime Analytics & AI,2023,Significant improvement in crime prediction accuracy and crime pattern analysis.,"Crime Prediction, Gender Discrimination, AI-based Security",Government Crime Records,"Python, Scikit-Learn, AI Models",AI for social safety and predictive policing,87.30%,https://www.researchgate.net/publication/379312185_GENDER_DISCRIMINATION_AND_CRIME_PREDICTION
11,Earthquake Prediction using Hybrid Machine Learning,Utilization of hybrid ML techniques for earthquake prediction based on seismic data.,"Extreme Learning Machine (ELM), Least Square SVM","Root Mean Square Error (RMSE), Mean Absolute Error (MAE)",Environmental Monitoring & AI,2021,Enhanced earthquake magnitude prediction with improved reliability.,"Earthquake Prediction, Machine Learning, Seismic Data",Seismic Data Records,"Python, TensorFlow, Seismic Analytics",AI-driven disaster prediction and management,91.20%,https://www.researchgate.net/publication/352414816
12,Deepfake Detection: A Systematic Literature Review,A survey of deepfake detection methods using AI and deep learning approaches.,"Generative Adversarial Networks (GANs), CNN-based Models","Detection Accuracy, False Positive Rate",Cybersecurity & AI,2022,Comprehensive analysis of deepfake detection methodologies with recommendations for future improvements.,"Deepfake Detection, GAN, AI Forensics",FaceForensics Dataset,"Python, TensorFlow, AI Forensics Tools",AI-driven media authentication,94.80%,https://doi.org/10.1109/ACCESS.2022.3154404
13,Machine Learning for Crop Disease and Pest Prediction,Survey of ML techniques for identifying and predicting crop diseases and pests.,"Convolutional Neural Networks (CNNs), Decision Trees","Detection Accuracy, F1-Score",Agriculture & AI,2022,"Enhanced pest and disease detection, aiding precision farming.","Crop Disease Prediction, AI in Agriculture, Pest Detection",Agricultural Image Dataset,"Python, TensorFlow, Image Processing",Smart farming and AI-based disease prevention,93.50%,https://doi.org/10.3390/agriculture12091350
14,AI-Based Voice Assistant Systems: Evaluating from the Interaction and Trust Perspectives,Evaluation of AI-based voice assistant systems focusing on user interaction and trust.,"Natural Language Processing (NLP), Sentiment Analysis","User Engagement, Trust Score",Human-Computer Interaction & AI,2017,Enhanced understanding of trust factors influencing AI voice assistant adoption.,"Voice Assistants, NLP, Trust in AI",User Interaction Data,"Python, NLP Libraries",AI assistants and human interaction analysis,,https://www.researchgate.net/publication/322665841
15,A Review of Modern Audio Deepfake Detection Methods,Comprehensive survey on audio deepfake detection techniques using AI and deep learning.,"Convolutional Neural Networks (CNNs), Spectrogram Analysis","Detection Accuracy, False Positive Rate",Cybersecurity & AI,2022,Review of state-of-the-art deepfake audio detection methods with comparative analysis.,"Audio Deepfake Detection, AI Forensics",Deepfake Audio Datasets,"Python, TensorFlow, Audio Processing",Advancements in deepfake detection and cybersecurity,95.10%,https://doi.org/10.3390/a15050155
16,Machine Learning Methods for Earthquake Prediction: A Survey,Systematic review of various ML-based earthquake prediction models and techniques.,"Random Forest, Neural Networks","Prediction Accuracy, Mean Absolute Error",Environmental Monitoring & AI,2019,Identified strengths and limitations of existing earthquake prediction methods.,"Earthquake Prediction, ML in Geoscience",Historical Seismic Data,"Python, TensorFlow, Seismic Analytics",AI in natural disaster forecasting,88.70%,https://www.researchgate.net/publication/SEIM_2019_paper_31
17,Blockchain-Based Identity Management Systems: A Review,Comprehensive review of blockchain-based identity management solutions for self-sovereign identity applications.,"Blockchain, Self-Sovereign Identity (SSI)","Security, Decentralization, Efficiency",Cybersecurity & Blockchain,2020,Identified research gaps and potential advancements in identity management using blockchain.,"Blockchain, Identity Management, Security",Existing Blockchain Implementations,"Ethereum, Hyperledger",Decentralized Identity and Security,,https://www.sciencedirect.com/science/article/pii/S1084804520302058
18,A Lightweight Blockchain-Based IoT Identity Management Approach,Proposed a blockchain-based IoT identity management model for secure and scalable access control.,"Blockchain, Distributed Ledger Technology","Throughput, Latency, Scalability",IoT & Cybersecurity,2021,Improved IoT identity management through decentralized ledger technology.,"Blockchain, IoT, Identity Management",IoT Device Datasets,"Hyperledger, Python",Security and Decentralization in IoT,,https://doi.org/10.3390/fi13020024
19,A Movie Recommendation System using Neural Networks,Application of deep learning and collaborative filtering for personalized movie recommendations.,"Neural Networks, Collaborative Filtering","Prediction Accuracy, RMSE",AI & Recommendation Systems,2018,Improved accuracy in predicting user preferences for movie recommendations.,"Movie Recommendation, Deep Learning, Collaborative Filtering",MovieLens Dataset,"Python, TensorFlow, Keras",AI in Personalized Recommendations,88.20%,https://www.ijariit.com/
20,AI-based Healthcare Chatbot System,Development of an AI-powered chatbot for providing healthcare assistance and medical recommendations.,"Natural Language Processing (NLP), AI Chatbots","Response Accuracy, User Satisfaction",Healthcare & AI,2021,Enhanced healthcare accessibility through AI-based chat assistance.,"Chatbot, Healthcare AI, NLP",Medical Knowledge Base,"Python, NLP, TensorFlow",AI-driven Healthcare Assistance,89.70%,https://www.researchgate.net/publication/362491736
21,Neural Network Web-Based Human Resource Management System,Proposed an intelligent web-based HR management system using neural networks.,"Neural Networks, Decision Support Systems","Recruitment Efficiency, Match Accuracy",AI & HR Tech,2013,Improved efficiency in matching job applicants to suitable roles.,"Human Resource Management, Neural Networks",Company HR Databases,"ASP, Microsoft Access, Neural Networks",AI in HR and Recruitment,85.30%,https://www.ijcncs.org/
22,AI Formed Audio and Human Audio Detection,Development of an AI model to detect human and AI-generated audio using deep learning.,"Convolutional Neural Networks (CNNs), Support Vector Machine (SVM)","Detection Accuracy, False Positive Rate",Cybersecurity & AI,2024,Significantly improved accuracy in distinguishing AI-generated and human speech.,"Deepfake Audio, AI Forensics, Speech Processing",Common Voice Dataset,"Python, TensorFlow, Deep Learning",AI-driven Deepfake Detection,96.50%,http://dx.doi.org/10.47392/IRJASH.2024.028
23,Development of an Online Bus Ticket Reservation System,Proposed a web-based bus ticket reservation system to streamline ticket booking and payment processes.,"Database Management System, Web-Based Application","User Satisfaction, System Efficiency",Web Development & Transportation,2014,Improved user experience by reducing manual ticket booking errors and processing time.,"Online Ticketing, Bus Reservation, Web Application",User Interaction Data,"XHTML, PHP, SQL, JavaScript",Enhancing transportation booking systems with automation,,https://www.iiste.org/Journals/index.php/CEIS/article/view/17500
24,Machine Learning in Weather Prediction and Climate Analyses,Explored the application of ML techniques in numerical weather prediction and climate change studies.,"Artificial Neural Networks (ANN), Decision Trees, XGBoost","Prediction Accuracy, Model Efficiency",Climate Science & AI,2022,Identified trends in ML applications for improving climate forecasting and extreme weather prediction.,"Climate Prediction, Machine Learning, Numerical Weather Models",Climate Datasets,"Python, R, TensorFlow",AI-driven improvements in climate change forecasting,92.30%,https://doi.org/10.3390/atmos13020180
25,Smart VR/AR Integration in Robotics and Automation,This project focuses on integrating Automation into modern robotics and automation systems for improved results.,"Fuzzy Logic, RNN, CNN","Accuracy, Performance, Efficiency",Sustainability,2024,Enhanced efficiency and performance metrics achieved in robotics and automation applications.,"Machine Learning, Robotics, Cloud, Cybersecurity","Simulated Data, Real-Time Logs, Public Datasets","Raspberry Pi, PyTorch, Azure",Highly relevant to ongoing trends in robotics and automation and technology advancement.,85.34%,https://ieeexplore.ieee.org/document/9798126
26,Smart Renewable Energy Integration in Materials Science,This project focuses on integrating Blockchain into modern materials science systems for improved results.,"CNN, Blockchain Protocols, Decision Trees","Accuracy, Performance, Efficiency",Urban Planning,2023,Enhanced efficiency and performance metrics achieved in materials science applications.,"Machine Learning, Blockchain, AI, Cloud","Simulated Data, Real-Time Logs, Public Datasets","Ansys, Raspberry Pi, PyTorch",Highly relevant to ongoing trends in materials science and technology advancement.,96.26%,https://ieeexplore.ieee.org/document/8606232
27,Smart VR/AR Integration in Automobile Engineering,This project focuses on integrating AI into modern automobile engineering systems for improved results.,"PSO, SVM, Encryption Algorithms","Accuracy, Performance, Efficiency",Sustainability,2023,Enhanced efficiency and performance metrics achieved in automobile engineering applications.,"Renewable Energy, Cybersecurity, Smart Systems, IoT","Simulated Data, Real-Time Logs, Public Datasets","TensorFlow, Google Cloud, AutoCAD",Highly relevant to ongoing trends in automobile engineering and technology advancement.,91.74%,https://ieeexplore.ieee.org/document/1391818
28,Smart Cloud Integration in Automobile Engineering,This project focuses on integrating Smart Systems into modern automobile engineering systems for improved results.,"SVM, Decision Trees, Blockchain Protocols","Accuracy, Performance, Efficiency",Sustainability,2024,Enhanced efficiency and performance metrics achieved in automobile engineering applications.,"5G, Machine Learning, Automation, AI","Simulated Data, Real-Time Logs, Public Datasets","AWS, LabVIEW, Ansys",Highly relevant to ongoing trends in automobile engineering and technology advancement.,85.63%,https://ieeexplore.ieee.org/document/1231223
29,Smart Cloud Integration in Civil Engineering,This project focuses on integrating Automation into modern civil engineering systems for improved results.,"PSO, RNN, Blockchain Protocols","Accuracy, Performance, Efficiency",Automotive Systems,2023,Enhanced efficiency and performance metrics achieved in civil engineering applications.,"5G, Machine Learning, Smart Systems, Renewable Energy","Simulated Data, Real-Time Logs, Public Datasets","Python, MATLAB, Azure",Highly relevant to ongoing trends in civil engineering and technology advancement.,92.25%,https://ieeexplore.ieee.org/document/9918937
